Code,Source,Exchange,Symbol,Depth,Rule,Name,Method,Data Start Date
SCF/CME_US1_OF,SCF,CME,US,1,OF,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Forwards Panama Canal Method",20/12/1977
SCF/CME_US1_ON,SCF,CME,US,1,ON,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, No Price Adjustment",20/12/1977
SCF/CME_US1_OR,SCF,CME,US,1,OR,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Backwards Ratio Method",20/12/1977
SCF/CME_US2_EB,SCF,CME,US,2,EB,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Backwards Panama Canal Method",20/12/1977
SCF/CME_US2_EF,SCF,CME,US,2,EF,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Forwards Panama Canal Method",20/12/1977
SCF/CME_US2_EN,SCF,CME,US,2,EN,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, No Price Adjustment",20/12/1977
SCF/CME_US2_ER,SCF,CME,US,2,ER,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Backwards Ratio Method",20/12/1977
SCF/CME_US2_EW,SCF,CME,US,2,EW,CBOT 30-year US Treasury Bond,"Roll on Last Trading Day, Calendar-Weighted Method",20/12/1977
SCF/CME_US2_FB,SCF,CME,US,2,FB,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Backwards Panama Canal Method",20/12/1977
SCF/CME_US2_FF,SCF,CME,US,2,FF,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Forwards Panama Canal Method",20/12/1977
SCF/CME_US2_FN,SCF,CME,US,2,FN,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, No Price Adjustment",20/12/1977
SCF/CME_US2_FR,SCF,CME,US,2,FR,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Backwards Ratio Method",20/12/1977
SCF/CME_US2_FW,SCF,CME,US,2,FW,CBOT 30-year US Treasury Bond,"Roll on First Day of Month, Calendar-Weighted Method",20/12/1977
SCF/CME_US2_OB,SCF,CME,US,2,OB,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Backwards Panama Canal Method",20/12/1977
SCF/CME_US2_OF,SCF,CME,US,2,OF,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Forwards Panama Canal Method",20/12/1977
SCF/CME_US2_ON,SCF,CME,US,2,ON,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, No Price Adjustment",20/12/1977
SCF/CME_US2_OR,SCF,CME,US,2,OR,CBOT 30-year US Treasury Bond,"Roll on Open Interest Switch, Backwards Ratio Method",20/12/1977
SCF/CME_C1_EB,SCF,CME,C,1,EB,CBOT Corn,"Roll on Last Trading Day, Backwards Panama Canal Method",22/03/1960
SCF/CME_C1_EF,SCF,CME,C,1,EF,CBOT Corn,"Roll on Last Trading Day, Forwards Panama Canal Method",22/03/1960
SCF/CME_C1_EN,SCF,CME,C,1,EN,CBOT Corn,"Roll on Last Trading Day, No Price Adjustment",22/03/1960
SCF/CME_C1_ER,SCF,CME,C,1,ER,CBOT Corn,"Roll on Last Trading Day, Backwards Ratio Method",22/03/1960
SCF/CME_C1_EW,SCF,CME,C,1,EW,CBOT Corn,"Roll on Last Trading Day, Calendar-Weighted Method",22/03/1960
SCF/CME_C1_FB,SCF,CME,C,1,FB,CBOT Corn,"Roll on First Day of Month, Backwards Panama Canal Method",22/03/1960
SCF/CME_C1_FF,SCF,CME,C,1,FF,CBOT Corn,"Roll on First Day of Month, Forwards Panama Canal Method",22/03/1960
SCF/CME_C1_FN,SCF,CME,C,1,FN,CBOT Corn,"Roll on First Day of Month, No Price Adjustment",22/03/1960
SCF/CME_C1_FR,SCF,CME,C,1,FR,CBOT Corn,"Roll on First Day of Month, Backwards Ratio Method",22/03/1960
SCF/CME_C1_FW,SCF,CME,C,1,FW,CBOT Corn,"Roll on First Day of Month, Calendar-Weighted Method",22/03/1960
SCF/CME_C1_OB,SCF,CME,C,1,OB,CBOT Corn,"Roll on Open Interest Switch, Backwards Panama Canal Method",22/03/1960
SCF/CME_C1_OF,SCF,CME,C,1,OF,CBOT Corn,"Roll on Open Interest Switch, Forwards Panama Canal Method",22/03/1960
SCF/CME_C1_ON,SCF,CME,C,1,ON,CBOT Corn,"Roll on Open Interest Switch, No Price Adjustment",22/03/1960
SCF/CME_C1_OR,SCF,CME,C,1,OR,CBOT Corn,"Roll on Open Interest Switch, Backwards Ratio Method",22/03/1960
SCF/CME_C2_EB,SCF,CME,C,2,EB,CBOT Corn,"Roll on Last Trading Day, Backwards Panama Canal Method",22/03/1960
SCF/CME_C2_EF,SCF,CME,C,2,EF,CBOT Corn,"Roll on Last Trading Day, Forwards Panama Canal Method",22/03/1960
SCF/CME_C2_EN,SCF,CME,C,2,EN,CBOT Corn,"Roll on Last Trading Day, No Price Adjustment",22/03/1960
SCF/CME_C2_ER,SCF,CME,C,2,ER,CBOT Corn,"Roll on Last Trading Day, Backwards Ratio Method",22/03/1960
SCF/CME_C2_EW,SCF,CME,C,2,EW,CBOT Corn,"Roll on Last Trading Day, Calendar-Weighted Method",22/03/1960
SCF/CME_C2_FB,SCF,CME,C,2,FB,CBOT Corn,"Roll on First Day of Month, Backwards Panama Canal Method",22/03/1960
SCF/CME_C2_FF,SCF,CME,C,2,FF,CBOT Corn,"Roll on First Day of Month, Forwards Panama Canal Method",22/03/1960
SCF/CME_C2_FN,SCF,CME,C,2,FN,CBOT Corn,"Roll on First Day of Month, No Price Adjustment",22/03/1960
SCF/CME_C2_FR,SCF,CME,C,2,FR,CBOT Corn,"Roll on First Day of Month, Backwards Ratio Method",22/03/1960
SCF/CME_C2_FW,SCF,CME,C,2,FW,CBOT Corn,"Roll on First Day of Month, Calendar-Weighted Method",22/03/1960
SCF/CME_C2_OB,SCF,CME,C,2,OB,CBOT Corn,"Roll on Open Interest Switch, Backwards Panama Canal Method",22/03/1960
SCF/CME_C2_OF,SCF,CME,C,2,OF,CBOT Corn,"Roll on Open Interest Switch, Forwards Panama Canal Method",22/03/1960
SCF/CME_C2_ON,SCF,CME,C,2,ON,CBOT Corn,"Roll on Open Interest Switch, No Price Adjustment",22/03/1960
SCF/CME_C2_OR,SCF,CME,C,2,OR,CBOT Corn,"Roll on Open Interest Switch, Backwards Ratio Method",22/03/1960
SCF/CME_DJ1_EB,SCF,CME,DJ,1,EB,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_EF,SCF,CME,DJ,1,EF,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_EN,SCF,CME,DJ,1,EN,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, No Price Adjustment",19/03/1998
SCF/CME_DJ1_ER,SCF,CME,DJ,1,ER,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Backwards Ratio Method",19/03/1998
SCF/CME_DJ1_EW,SCF,CME,DJ,1,EW,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Calendar-Weighted Method",19/03/1998
SCF/CME_DJ1_FB,SCF,CME,DJ,1,FB,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_FF,SCF,CME,DJ,1,FF,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_FN,SCF,CME,DJ,1,FN,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, No Price Adjustment",19/03/1998
SCF/CME_DJ1_FR,SCF,CME,DJ,1,FR,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Backwards Ratio Method",19/03/1998
SCF/CME_DJ1_FW,SCF,CME,DJ,1,FW,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Calendar-Weighted Method",19/03/1998
SCF/CME_DJ1_OB,SCF,CME,DJ,1,OB,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_OF,SCF,CME,DJ,1,OF,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ1_ON,SCF,CME,DJ,1,ON,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, No Price Adjustment",19/03/1998
SCF/CME_DJ1_OR,SCF,CME,DJ,1,OR,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Backwards Ratio Method",19/03/1998
SCF/CME_DJ2_EB,SCF,CME,DJ,2,EB,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_EF,SCF,CME,DJ,2,EF,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_EN,SCF,CME,DJ,2,EN,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, No Price Adjustment",19/03/1998
SCF/CME_DJ2_ER,SCF,CME,DJ,2,ER,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Backwards Ratio Method",19/03/1998
SCF/CME_DJ2_EW,SCF,CME,DJ,2,EW,CBOT Dow Jones Ind Avg (DJIA),"Roll on Last Trading Day, Calendar-Weighted Method",19/03/1998
SCF/CME_DJ2_FB,SCF,CME,DJ,2,FB,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_FF,SCF,CME,DJ,2,FF,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_FN,SCF,CME,DJ,2,FN,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, No Price Adjustment",19/03/1998
SCF/CME_DJ2_FR,SCF,CME,DJ,2,FR,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Backwards Ratio Method",19/03/1998
SCF/CME_DJ2_FW,SCF,CME,DJ,2,FW,CBOT Dow Jones Ind Avg (DJIA),"Roll on First Day of Month, Calendar-Weighted Method",19/03/1998
SCF/CME_DJ2_OB,SCF,CME,DJ,2,OB,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Backwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_OF,SCF,CME,DJ,2,OF,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Forwards Panama Canal Method",19/03/1998
SCF/CME_DJ2_ON,SCF,CME,DJ,2,ON,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, No Price Adjustment",19/03/1998
SCF/CME_DJ2_OR,SCF,CME,DJ,2,OR,CBOT Dow Jones Ind Avg (DJIA),"Roll on Open Interest Switch, Backwards Ratio Method",19/03/1998
SCF/CME_SM1_EB,SCF,CME,SM,1,EB,CBOT Soybean Meal,"Roll on Last Trading Day, Backwards Panama Canal Method",19/03/1964
SCF/CME_SM1_EF,SCF,CME,SM,1,EF,CBOT Soybean Meal,"Roll on Last Trading Day, Forwards Panama Canal Method",19/03/1964
SCF/CME_SM1_EN,SCF,CME,SM,1,EN,CBOT Soybean Meal,"Roll on Last Trading Day, No Price Adjustment",19/03/1964
SCF/CME_SM1_ER,SCF,CME,SM,1,ER,CBOT Soybean Meal,"Roll on Last Trading Day, Backwards Ratio Method",19/03/1964
SCF/CME_SM1_EW,SCF,CME,SM,1,EW,CBOT Soybean Meal,"Roll on Last Trading Day, Calendar-Weighted Method",19/03/1964
