FTSE Index,
Date,Closing Price
21/07/2011,5899.89
22/07/2011,5935.02
25/07/2011,5925.26
26/07/2011,5929.73
27/07/2011,5856.58
28/07/2011,5873.21
29/07/2011,5815.19
01/08/2011,5774.43
02/08/2011,5718.39
03/08/2011,5584.51
04/08/2011,5393.14
05/08/2011,5246.99
08/08/2011,5068.95
09/08/2011,5164.92
10/08/2011,5007.16
11/08/2011,5162.83
12/08/2011,5320.03
15/08/2011,5350.58
16/08/2011,5357.63
17/08/2011,5331.6
18/08/2011,5092.23
19/08/2011,5040.76
22/08/2011,5095.3
23/08/2011,5129.42
24/08/2011,5205.85
25/08/2011,5131.1
26/08/2011,5129.92
30/08/2011,5268.66
31/08/2011,5394.53
01/09/2011,5418.65
02/09/2011,5292.03
05/09/2011,5102.58
06/09/2011,5156.84
07/09/2011,5318.59
08/09/2011,5340.38
09/09/2011,5214.65
12/09/2011,5129.62
13/09/2011,5174.25
14/09/2011,5227.02
15/09/2011,5337.54
16/09/2011,5368.41
19/09/2011,5259.56
20/09/2011,5363.71
21/09/2011,5288.41
22/09/2011,5041.61
23/09/2011,5066.81
26/09/2011,5089.37
27/09/2011,5294.05
28/09/2011,5217.63
29/09/2011,5196.84
30/09/2011,5128.48
03/10/2011,5075.5
04/10/2011,4944.44
05/10/2011,5102.17
06/10/2011,5291.26
07/10/2011,5303.4
10/10/2011,5399
11/10/2011,5395.7
12/10/2011,5441.8
13/10/2011,5403.38
14/10/2011,5466.36
17/10/2011,5436.7
18/10/2011,5410.35
19/10/2011,5450.49
20/10/2011,5384.68
21/10/2011,5488.65
24/10/2011,5548.06
25/10/2011,5525.54
26/10/2011,5553.24
27/10/2011,5713.82
28/10/2011,5702.24
31/10/2011,5544.22
01/11/2011,5421.57
02/11/2011,5484.1
03/11/2011,5545.64
04/11/2011,5527.16
07/11/2011,5510.82
08/11/2011,5567.34
09/11/2011,5460.38
10/11/2011,5444.82
11/11/2011,5545.38
14/11/2011,5519.04
15/11/2011,5517.44
16/11/2011,5509.02
17/11/2011,5423.14
18/11/2011,5362.94
21/11/2011,5222.6
22/11/2011,5206.82
23/11/2011,5139.78
24/11/2011,5127.57
25/11/2011,5164.65
28/11/2011,5312.76
29/11/2011,5337
30/11/2011,5505.42
01/12/2011,5489.34
02/12/2011,5552.29
05/12/2011,5567.96
06/12/2011,5568.72
07/12/2011,5546.91
08/12/2011,5483.77
09/12/2011,5529.21
12/12/2011,5427.86
13/12/2011,5490.15
14/12/2011,5366.8
15/12/2011,5400.85
16/12/2011,5387.34
19/12/2011,5364.99
20/12/2011,5419.6
21/12/2011,5389.74
22/12/2011,5456.97
23/12/2011,5512.7
28/12/2011,5507.4
29/12/2011,5566.77
30/12/2011,5572.28
03/01/2012,5699.91
04/01/2012,5668.45
05/01/2012,5624.26
06/01/2012,5649.68
09/01/2012,5612.26
10/01/2012,5696.7
11/01/2012,5670.82
12/01/2012,5662.42
13/01/2012,5636.64
16/01/2012,5657.44
17/01/2012,5693.95
18/01/2012,5702.37
19/01/2012,5741.15
20/01/2012,5728.55
23/01/2012,5782.56
24/01/2012,5751.9
25/01/2012,5723
26/01/2012,5795.2
27/01/2012,5733.45
30/01/2012,5671.09
31/01/2012,5681.61
01/02/2012,5790.72
02/02/2012,5796.07
03/02/2012,5901.07
06/02/2012,5892.2
07/02/2012,5890.26
08/02/2012,5875.93
09/02/2012,5895.47
10/02/2012,5852.39
13/02/2012,5905.7
14/02/2012,5899.87
15/02/2012,5892.16
16/02/2012,5885.38
17/02/2012,5905.07
20/02/2012,5945.25
21/02/2012,5928.2
22/02/2012,5916.55
23/02/2012,5937.89
24/02/2012,5935.13
27/02/2012,5915.55
28/02/2012,5927.91
29/02/2012,5871.51
01/03/2012,5931.25
02/03/2012,5911.13
05/03/2012,5874.82
06/03/2012,5765.8
07/03/2012,5791.41
08/03/2012,5859.73
09/03/2012,5887.49
12/03/2012,5892.75
13/03/2012,5955.91
14/03/2012,5945.43
15/03/2012,5940.72
16/03/2012,5965.58
19/03/2012,5961.11
20/03/2012,5891.41
21/03/2012,5891.95
22/03/2012,5845.65
23/03/2012,5854.89
26/03/2012,5902.7
27/03/2012,5869.55
28/03/2012,5808.99
29/03/2012,5742.03
30/03/2012,5768.45
02/04/2012,5874.89
03/04/2012,5838.34
04/04/2012,5703.77
05/04/2012,5723.67
10/04/2012,5595.55
11/04/2012,5634.74
12/04/2012,5710.46
13/04/2012,5651.79
16/04/2012,5666.28
17/04/2012,5766.95
18/04/2012,5745.29
19/04/2012,5744.55
20/04/2012,5772.15
23/04/2012,5665.57
24/04/2012,5709.49
25/04/2012,5718.89
26/04/2012,5748.72
27/04/2012,5777.11
30/04/2012,5737.78
01/05/2012,5812.23
02/05/2012,5758.11
03/05/2012,5766.55
04/05/2012,5655.06
08/05/2012,5554.55
09/05/2012,5530.05
10/05/2012,5543.95
11/05/2012,5575.52
14/05/2012,5465.52
15/05/2012,5437.62
16/05/2012,5405.25
17/05/2012,5338.38
18/05/2012,5267.62
21/05/2012,5304.48
22/05/2012,5403.28
23/05/2012,5266.41
24/05/2012,5350.05
25/05/2012,5351.53
28/05/2012,5356.34
